categories.allowed,total.counts,file.name,total.filecounts,rel.filecount
trill,0,T0000087,664,0
trill-c,0,T0000087,664,0
trill-f,0,T0000087,664,0
trill,0,T0000088,177,0
trill-c,0,T0000088,177,0
trill-f,0,T0000088,177,0
trill,0,T0000092,66,0
trill-c,0,T0000092,66,0
trill-f,0,T0000092,66,0
trill,0,T0000093,104,0
trill-c,0,T0000093,104,0
trill-f,0,T0000093,104,0
trill,0,T0000097,442,0
trill-c,0,T0000097,442,0
trill-f,0,T0000097,442,0
trill,0,T0000098,661,0
trill-c,0,T0000098,661,0
trill-f,0,T0000098,661,0
trill,0,T0000106,29,0
trill-c,0,T0000106,29,0
trill-f,0,T0000106,29,0
trill,0,T0000107,182,0
trill-c,0,T0000107,182,0
trill-f,0,T0000107,182,0
trill,0,T0000125,145,0
trill-c,0,T0000125,145,0
trill-f,0,T0000125,145,0
trill,0,T0000126,329,0
trill-c,0,T0000126,329,0
trill-f,0,T0000126,329,0
trill,0,T0000142,7,0
trill-c,0,T0000142,7,0
trill-f,0,T0000142,7,0
trill,0,T0000143,3,0
trill-c,0,T0000143,3,0
trill-f,0,T0000143,3,0
trill,0,T0000149,190,0
trill-c,0,T0000149,190,0
trill-f,0,T0000149,190,0
trill,0,T0000151,73,0
trill-c,0,T0000151,73,0
trill-f,0,T0000151,73,0
trill,0,T0000156,219,0
trill-c,0,T0000156,219,0
trill-f,0,T0000156,219,0
trill,0,T0000157,42,0
trill-c,0,T0000157,42,0
trill-f,0,T0000157,42,0
trill,0,T0000186,1,0
trill-c,0,T0000186,1,0
trill-f,0,T0000186,1,0
trill,0,T0000187,3,0
trill-c,0,T0000187,3,0
trill-f,0,T0000187,3,0
trill,0,T0000191,66,0
trill-c,0,T0000191,66,0
trill-f,0,T0000191,66,0
trill,0,T0000192,128,0
trill-c,0,T0000192,128,0
trill-f,0,T0000192,128,0
trill,0,T0000196,47,0
trill-c,0,T0000196,47,0
trill-f,0,T0000196,47,0
trill,0,T0000197,629,0
trill-c,0,T0000197,629,0
trill-f,0,T0000197,629,0
trill,0,T0000229,69,0
trill-c,0,T0000229,69,0
trill-f,0,T0000229,69,0
trill,0,T0000230,16,0
trill-c,0,T0000230,16,0
trill-f,0,T0000230,16,0
trill,0,T0000243,76,0
trill-c,0,T0000243,76,0
trill-f,0,T0000243,76,0
trill,0,T0000244,41,0
trill-c,0,T0000244,41,0
trill-f,0,T0000244,41,0
trill,0,T0000255,377,0
trill-c,0,T0000255,377,0
trill-f,0,T0000255,377,0
trill,0,T0000256,914,0
trill-c,0,T0000256,914,0
trill-f,0,T0000256,914,0
trill,0,T0000304,32,0
trill-c,0,T0000304,32,0
trill-f,0,T0000304,32,0
